,0
0,ps
1,capex_asset_dyoy
2,netdebt
3,pe
4,assetturnover_dyoy
5,opmargin
6,grossmargin_dyoy
7,opex_yoy
8,fcfps_dyoy
9,netdebt_ebitda
10,opmargin_dyoy
11,netdebt_ebit
12,debt_yoy
13,debt_ebitda_dyoy
14,interest_ebit_dyoy
15,netdebt_ebit_dyoy
16,interest_ebit
17,peg
18,ppnenet_yoy
19,cashnequsd_yoy
20,divyield_dyoy
21,netdebt_ebitda_dyoy
22,debt_ebit_dyoy
23,investments_3mom
24,netmargin_dyoy
25,ebitdamargin_dyoy
26,depamor_yoy
27,equity_asset
28,debt_ebit
29,px_avg_momentum_6m
30,px_avg_pct_6m
31,px_momentum_6m
32,px_avg_momentum_9m
33,px_avg_momentum_9m_vol_12m
34,px_momentum_9m
35,px_momentum_9m_vol_12m
36,px_avg_pct_3m
37,px_avg_momentum_3m
38,px_momentum_3m_vol_12m
39,px_chg_12m_vol_12m
40,px_avg_momentum_9m_chg_3m
41,px_pct_6m
42,px_avg_momentum_6m_chg_3m
43,px_momentum_3m
44,px_momentum_9m_chg_3m
45,px_avg_momentum_6m_l3
46,px_momentum_6m_vol_12m_l3
47,px_momentum_9m_vol_12m_chg_3m
48,px_avg_momentum_3m_l3
49,ps_dyoy
50,px_momentum_3m_l3
51,px_momentum_9m_l3
52,px_momentum_6m_chg_3m
53,px_momentum_6m_l3
54,px_avg_momentum_9m_l3
55,psg
56,px_momentum_9m_vol_12m_l3
57,px_vol_3m
58,px_yoy
59,px_avg_mom
60,px_avg_momentum_3m_chg_3m
61,px_pct_18m
62,px_pct_3m
63,px_vol_9m
64,roic
65,px_vol_12m
66,px_vol_6m
67,volume_pct_3m
68,revenue_3mom
69,volume_yoy
70,volume_pct_6m
71,roe
72,roe_dyoy
73,volume_pct_18m
74,retearn_asset_dyoy
75,roic_dyoy
76,roa
77,shareswa_yoy
