,column,dtype
0,ticker,object
1,dimension,object
2,calendardate,datetime64[ns]
3,datekey,datetime64[ns]
4,reportperiod,datetime64[ns]
5,fiscalperiod,object
6,lastupdated,datetime64[ns]
7,accoci,int64
8,assets,int64
9,assetsavg,float64
10,assetsc,float64
11,assetsnc,float64
12,assetturnover,float64
13,bvps,float64
14,capex,float64
15,cashneq,int64
16,cashnequsd,int64
17,cor,float64
18,consolinc,float64
19,currentratio,float64
20,de,float64
21,debt,int64
22,debtc,float64
23,debtnc,float64
24,debtusd,int64
25,deferredrev,int64
26,depamor,float64
27,deposits,int64
28,divyield,float64
29,dps,float64
30,ebit,float64
31,ebitda,float64
32,ebitdamargin,float64
33,ebitdausd,float64
34,ebitusd,float64
35,ebt,float64
36,eps,float64
37,epsdil,float64
38,epsusd,float64
39,equity,int64
40,equityavg,float64
41,equityusd,int64
42,ev,float64
43,evebit,float64
44,evebitda,float64
45,fcf,float64
46,fcfps,float64
47,fxusd,float64
48,gp,float64
49,grossmargin,float64
50,intangibles,int64
51,intexp,float64
52,invcap,int64
53,invcapavg,float64
54,inventory,int64
55,investments,int64
56,investmentsc,float64
57,investmentsnc,float64
58,liabilities,int64
59,liabilitiesc,float64
60,liabilitiesnc,float64
61,marketcap,float64
62,ncf,float64
63,ncfbus,float64
64,ncfcommon,float64
65,ncfdebt,float64
66,ncfdiv,float64
67,ncff,float64
68,ncfi,float64
69,ncfinv,float64
70,ncfo,float64
71,ncfx,float64
72,netinc,float64
73,netinccmn,float64
74,netinccmnusd,float64
75,netincdis,float64
76,netincnci,float64
77,netmargin,float64
78,opex,float64
79,opinc,float64
80,payables,int64
81,payoutratio,float64
82,pb,float64
83,pe,float64
84,pe1,float64
85,ppnenet,int64
86,prefdivis,float64
87,price,float64
88,ps,float64
89,ps1,float64
90,receivables,int64
91,retearn,float64
92,revenue,float64
93,revenueusd,float64
94,rnd,float64
95,roa,float64
96,roe,float64
97,roic,float64
98,ros,float64
99,sbcomp,float64
100,sgna,float64
101,sharefactor,float64
102,sharesbas,float64
103,shareswa,int64
104,shareswadil,float64
105,sps,float64
106,tangibles,int64
107,taxassets,int64
108,taxexp,float64
109,taxliabilities,int64
110,tbvps,float64
111,workingcapital,float64
